director_id,movie_id,person_id
17,1611,14782
1751,1612,-
1752,1613,8581
1753,1614,-
1754,1615,-
1755,1616,-
1756,1617,3057
1757,1618,-
1758,1619,16605
1759,16,-
17,1621,-
1761,1622,19641
1762,1623,-
1763,1624,13903
1764,1625,67
1765,1626,-
1766,1627,4284
1767,1628,-
1768,1629,1301
1769,16,-
17,1631,-
1771,1632,-
1772,1633,-
1773,1634,13271
1774,1635,-
1775,1636,-
1776,1637,5049
1777,1638,-
1778,1639,-
1779,16,15688
17,1641,8066
1781,1642,-
1782,1643,9997
1783,1644,-
1784,1645,-
1785,1646,1087
1786,1647,12766
1787,1648,14061
1788,1649,-
1789,16,-
17,1651,-
1791,758,10527
1792,1652,10527
1793,1653,13009
1794,1654,-
1795,1655,-
1796,2323,-
1797,1656,588
1798,1657,11556
1799,1658,-
18,1659,17447
1801,16,7507
1802,1661,10423
1803,1662,-
1804,1663,13902
1805,1664,-
1806,1665,15892
1807,1666,-
1808,1667,-
1809,1668,-
18,1669,5679
1811,16,4145
1812,1671,4943
1813,1671,8368
1814,1671,7822
1815,1672,-
1816,1673,9353
1817,1674,12137
1818,1675,-
1819,1676,17958
18,1677,-
1821,1678,-
1822,1679,-
1823,16,-
1824,1681,17756
1825,1682,-
1826,1683,9
1827,1684,18144
1828,1685,12924
1829,1686,1098
18,1687,10431
1831,1688,10582
1832,1689,1905
1833,16,12597
1834,1691,14324
1835,1692,3171
1836,1693,4648
1837,1694,1612
1838,1695,179
1839,1696,21019
18,1697,19388
1841,1698,-
1842,1699,-
1843,17,699
1844,1701,1283
1845,1702,-
1846,1703,-
1847,1704,14809
1848,1705,9302
1849,1705,19298
18,1706,-
1851,1707,-
1852,1708,179
1853,1709,-
1854,17,-
1855,1711,18827
1856,1712,-
1857,1713,53
1858,1714,-
1859,1715,-
18,1716,-
1861,1717,-
1862,1718,6255
1863,1719,-
1864,17,3596
1865,17,17303
1866,1721,5342
1867,1722,16752
1868,1723,4221
1869,1724,16531
18,1725,200
1871,1726,-
1872,1727,-
1873,1728,121
1874,1729,2213
1875,17,6718
1876,1731,-
1877,1732,-
1878,1733,11249
1879,1733,2806
18,1733,15015
1881,1734,-
1882,1735,-
1883,1736,-
1884,1737,4926
1885,1738,14749
1886,1738,15598
1887,1738,10698
1888,1738,9564
1889,1738,36
18,1738,17176
1891,1738,19
1892,1738,7407
1893,1738,13712
1894,1738,175
1895,1738,2219
1896,1738,4792
1897,1738,124
1898,1739,-
1899,17,3619
19,1741,7816
1901,1741,19243
1902,1742,-
1903,1743,7855
1904,1744,6376
1905,1745,-
1906,1746,-
1907,1747,17793
1908,1748,16912
1909,1748,20999
19,1749,20065
1911,17,16102
